,name,artist,api_id,api_name,api_artists
115,Moonlight Gambler,Frankie Laine,27jaiKKAGY0HXVXkOGnUJW,Moonlight Gambler,Frankie Laine
116,It's Not For Me To Say,Johnny Mathis,0LzsNy1SqlM0qkRGL2RJfv,"It's Not for Me to Say - From the MGM Film ""Lizzie""",Johnny Mathis
117,Butterfly,Andy Williams,6nbjQPCMSSe9RkNxujHTLo,Butterfly - 1957 #1 Billboard chart hit,Andy Williams
118,Im Walkin,Fats Domino,2gZlblsff9FKnhSIwB2ZsU,I'm Walkin',Fats Domino
119,Chances Are,Johnny Mathis,6sAcECONsANle5n0rnP2at,Chances Are (with Ray Conniff & His Orchestra),"Johnny Mathis,Ray Conniff"
120,Send For Me,Nat King Cole,1x70VF9nu0CVFRvk70xOlR,Send For Me,Nat King Cole
121,Be-bop Baby,Ricky Nelson,4pcl5FMiVEi3w14ooOsr1O,Be-Bop Baby - Remastered,Ricky Nelson
122,Old Cape Cod,Patti Page,1H625U2yTSLAEZrHFasZ3b,Old Cape Cod,Patti Page
123,Blueberry Hill,Fats Domino,06PdA0DLgF4BfAeUNZAbFG,Blueberry Hill,Fats Domino
124,Blue Monday,Fats Domino,7iwQPvyViIkyT0HWnatjnk,Blue Monday,Fats Domino
125,Wonderful! Wonderful!,Johnny Mathis,5bDVkMLsBJgNL3eejUhBKF,Wonderful! Wonderful! (with Ray Conniff & His Orchestra & Chorus) - Single Version,"Johnny Mathis,Ray Conniff"
126,Love Me Tender,Elvis Presley,4GAhAw0RCzNVP976NRMOqO,"Love Me Tender - From the 20th Century-Fox CinemaScope Production, ""Love Me Tender""",Elvis Presley
127,Jamaica Farewell,Harry Belafonte,24dYJMPdnXXoHEu50MwRVN,Jamaica Farewell - Remastered,Harry Belafonte
128,Why Baby Why,Pat Boone,6byTXi4MHjSyThyxscV5CT,Why Baby Why - Single Version,Pat Boone
129,Four Walls,Jim Reeves,3qReTgtrLsZDISxor3lJW0,Four Walls,Jim Reeves
130,In the Middle of an Island,Tony Bennett,5mzTc5Z54XBiEuhbKHt6Oc,In The Middle Of An Island - 2011 Remaster,Tony Bennett
131,Young Blood,Coasters,55f4JiHsK46ftCjzr5CiKl,Young Blood,The Coasters
132,I Like Your Kind of Love,Andy Williams,44HjNoChps0cQzjehaTfm0,I Like Your Kind of Love - 1957 #8 Billboard chart hit,Andy Williams
133,Rock and Roll Music,Chuck Berry,09hxCc0SgV8u46gWsfeqJA,Rock And Roll Music,Chuck Berry
134,Jenny Jenny,Little Richard,0PQKV9VdhgkJcPkwjKzVWs,"Jenny, Jenny",Little Richard
135,Bernardine,Pat Boone,5KrS3wSr8nyllOmuYbDlwq,Bernardine,Pat Boone
136,Keep a Knockin',Little Richard,7j2yNW7bjEHfRirQddwOLQ,Keep A Knockin',Little Richard
137,C.C. Rider,Chuck Willis,2IM1X4QkfYFiNhRmMGAitf,C.C. Rider,Chuck Willis
138,Lotta Lovin',Gene Vincent,0ijKW319aVwVVDmFGU4rGC,Lotta Lovin',"Gene Vincent,The Blue Caps"
139,Valley of Tears,Fats Domino,3mTGg4N0Ggf7XEJvdrezFc,Valley Of Tears - Remastered 2002,Fats Domino
140,Remember You're Mine,Pat Boone,4GmRoRNkuUCpOfqA9XvB8N,Remember You're Mine - Single Version,Pat Boone
141,Loving You,Elvis Presley,3Kb4kr3DGzzU5OtYqycWvE,"You've Lost That Loving Feeling - Live at The International Hotel, Las Vegas",Elvis Presley
142,Patricia,Perez Prado,205EtD8tQnHDXMkmtYiaHF,Patricia,Pérez Prado
143,It's All In The Game,Tommy Edwards,2lmPUdIdzlFH64PWJrw6Zb,It's All In The Game,Tommy Edwards
144,Return To Me,Dean Martin,6YAgmqaeo8Fm3pne8OJEBo,Return To Me (Ritorna-Me) - 1997 Remaster,Dean Martin
145,Twilight Time,Platters,3MpGQae6zAFd7Z1FdLV9fV,Twilight Time - Single Version,The Platters
146,Secretly,Jimmie Rodgers,4jDVGv8E9MWWcVJJPl22t3,Secretly,Jimmie Rodgers
147,Yakety Yak,Coasters,7demHL0GXA6YmTNqw3Btz8,Yakety Yak,The Coasters
148,Poor Little Fool,Ricky Nelson,5ayybTSXNwcarDtxQKqvWX,Poor Little Fool - Remastered,Ricky Nelson
149,Just A Dream,Jimmy Clanton,5kkxhv7ImIAU5QlImuoKOu,Just a Dream,Jimmy Clanton
150,Tom Dooley,Kingston Trio,2qLxtO0iaFGI9x19vU3bDI,Tom Dooley,The Kingston Trio
151,Sweet Little Sixteen,Chuck Berry,4GWHrdyVTC0AWwuRgoWzE7,Sweet Little Sixteen,Chuck Berry
152,Tears On My Pillow,Little Anthony and The Imperials,07ePHsQ0SopWrnCbNjNC2D,Tears on My Pillow,Little Anthony & The Imperials
153,Great Balls Of Fire,Jerry Lee Lewis,5UvE5QlINnvEc7aFO14DVL,Great Balls Of Fire,Jerry Lee Lewis
154,Lollipop,Chordettes,1hFB1obL3dCyIDigkojSTm,Lollipop,The Chordettes
155,Splish Splash,Bobby Darin,40fD7ct05FvQHLdQTgJelG,Splish Splash,Bobby Darin
156,Who's Sorry Now,Connie Francis,4bzvhZFlV9UqQ3EmV2i8s4,Who's Sorry Now,Connie Francis
157,April Love,Pat Boone,5ax1MN2MGW0ZJXquCkpuLM,April Love,Pat Boone
158,Peggy Sue,Buddy Holly,2OARIMw1hpehr86Iwmv04c,Peggy Sue,Buddy Holly
159,Oh Lonesome Me,Don Gibson,5NfJlu8F8zfoBEXfjPnk10,"Oh, Lonesome Me",Don Gibson
160,Chantilly Lace,Big Bopper,07GtDOCxmye5KDWsTSACPk,Chantilly Lace,The Big Bopper
161,All the Way,Frank Sinatra,7fanCwOck16J9MPJ3SR39P,All The Way - 2006 Digital Remaster/24 Bit Mastering,Frank Sinatra
162,One Night,Elvis Presley,6zGg2IF0FJYXRaOTPGWa24,One Night (Second 'Sit-Down' Show) - Live,Elvis Presley
