index,artist
719,Cass Elliot
720,Jay & The Americans
721,The Temptations
722,Glen Campbell
723,Lou Christie
724,Ray Stevens
725,Dionne Warwick
725,Phil Driscoll
726,James Brown
727,Edwin Starr
728,Marvin Gaye
729,Tony Joe White
730,Kenny Rogers
731,Joe South
732,The Beatles
733,The Beatles
734,Diana Ross & The Supremes
734,The Temptations
735,Marvin Gaye
736,Tom Jones
737,David Ruffin
738,The Box Tops
739,B.J. Thomas
740,Simon & Garfunkel
741,Carpenters
742,B.J. Thomas
743,Edwin Starr
744,Diana Ross
745,The Jackson 5
746,Rare Earth
747,The Beatles
748,Freda Payne
749,Three Dog Night
750,Ray Stevens
751,Bread
752,The Jackson 5
753,The Jackson 5
754,The Dawn
754,Tony Orlando & Dawn
755,Eric Burdon
755,War
756,Norman Greenbaum
757,The Temptations
758,The Jackson 5
759,Shocking Blue
760,John Lennon
760,Yoko Ono
761,Brook Benton
762,Kenny Rogers & The First Edition
763,Sing Karaoke Sing
764,Edison Lighthouse
765,Anne Murray
766,Marmalade
767,The Hollies
768,Badfinger
769,The Kinks
770,Mungo Jerry
771,R. Dean Taylor
772,Rare Earth
773,Four Tops
774,Chicago
775,Frijid Pink
776,Chicago
777,White Plains
778,Brotherhood of Man
779,Carpenters
779,Royal Philharmonic Orchestra
780,James Taylor
781,Gene Chandler
782,B.J. Thomas
783,The Spinners
784,Mountain
785,Ike & Tina Turner
786,Joe Cocker
787,Christie
788,The Ides Of March
789,The Supremes
790,The Temptations
791,Tom Jones
792,Crosby
792, Stills
792, Nash & Young
793,Dionne Warwick
794,Joe South
795,B.B. King
795,Tracy Chapman
796,Glen Campbell
797,Aretha Franklin
798,Three Dog Night
799,The Osmonds
800,Bee Gees
801,Donny Osmond
802,John Denver
803,The Temptations
804,Tony Orlando & Dawn
805,Janis Joplin
806,Al Green
807,The Undisputed Truth
808,The Rolling Stones
809,James Taylor
810,Jean Knight
811,Lee Michaels
812,Joan Baez
813,Marvin Gaye
814,Bill Withers
814,Lido
815,Tom Jones
816,Murray Head
816,Andrew Lloyd Webber
816,Tim Rice
816,The Trinidad Singers
817,Carpenters
818,Donny Osmond
819,Carpenters
820,Gordon Lightfoot
821,Carpenters
822,The Jackson 5
823,Lynn Anderson
824,Ringo Starr
825,Nitty Gritty Dirt Band
826,The Dramatics
827,Carly Simon
828,Stevie Wonder
829,Aretha Franklin
830,Helen Reddy
831,The Osmonds
832,Ike & Tina Turner
833,Stampeders
834,Bread
835,Marvin Gaye
836,Freda Payne
837,Rare Earth
838,Three Dog Night
839,Andy Williams
840,Olivia Newton-John
841,Matthews' Southern Comfort
842,Judy Collins
843,Dave Edmunds
844,Bee Gees
845,The Fortunes
846,The Jackson 5
847,Gladys Knight & The Pips
848,The Doors
849,Richie Havens
850,The Doors
851,Perry Como
852,Roberta Flack
853,Gilbert O'Sullivan
854,Don McLean
855,Sammy Davis Jr.
856,Bill Withers
857,Mac Davis
858,Wayne Newton
859,Al Green
860,The Chi-Lites
861,Chuck Berry
862,Neil Young
863,The Staple Singers
864,Michael Jackson
865,The Hollies
866,Neil Diamond
867,America
867,George Martin
868,The Moody Blues
869,The O'Jays
870,The Osmonds
871,Jonathan Edwards
872,Elton John
873,Michael Jackson
874,Arlo Guthrie
875,Johnny Nash
876,Elvis Presley
877,Betty Wright
878,Argent
879,Bread
880,The Dramatics
881,Al Green
882,T. Rex
883,Paul Simon
884,Roberta Flack
884,Donny Hathaway
885,Al Green
886,Derek & The Dominos
887,Aretha Franklin
888,Cher
889,Three Dog Night
890,Dr. Hook
891,Carpenters
892,Donny Osmond
893,Jim Croce
894,Commander Cody and His Lost Planet Airmen
895,Sonny & Cher
896,Carly Simon
897,Three Dog Night
898,Alice Cooper
899,Chicago
900,Bill Withers
901,Sly & The Family Stone
902,Redbone
903,Curtis Mayfield
904,Harry Chapin
905,Bobby Vinton
906,Todd Rundgren
907,Sailcat
908,Yes
909,Jackson Browne
910,Rick Springfield
911,Jim Croce
912,Roberta Flack
913,Marvin Gaye
914,Paul McCartney
914,Wings
915,Kris Kristofferson
916,Elton John
917,Billy Preston
918,Carly Simon
919,Diana Ross
920,Helen Reddy
921,Billy Paul
922,Dobie Gray
923,Stevie Wonder
924,Cher
925,Grand Funk Railroad
926,Dr. John
927,Stevie Wonder
928,Paul Simon
929,Maureen McGovern
930,John Denver
931,Stealers Wheel
932,Three Dog Night
933,The O'Jays
934,Barry White
935,Eddie Kendricks
936,Anne Murray
937,Seals and Crofts
938,George Harrison
939,Sly & The Family Stone
940,Jermaine Jackson
941,Gladys Knight & The Pips
942,The Spinners
943,Elton John
944,Gladys Knight & The Pips
945,Deep Purple
946,Loggins & Messina
947,Chicago
948,Wings
949,Johnnie Taylor
950,Carpenters
951,Four Tops
952,Stevie Wonder
953,Al Green
954,Curtis Mayfield
955,Gilbert O'Sullivan
956,Steely Dan
957,Carpenters
958,Gilbert O'Sullivan
959,Steely Dan
960,Paul Simon
961,Timmy Thomas
962,Tower Of Power
963,Johnny Rivers
964,Allman Brothers Band
965,The Temptations
966,Helen Reddy
967,Ohio Players
968,The Rolling Stones
969,Johnny Nash
970,Pink Floyd
971,The Pointer Sisters
972,The Edgar Winter Group
973,David Bowie
974,Albert Hammond
975,Donny Osmond
976,The Temptations
977,Barbra Streisand
978,Terry Jacks
979,Redbone
980,The Jackson 5
981,Grand Funk Railroad
982,Ray Stevens
983,Elton John
984,Mac Davis
985,Aretha Franklin
